
SM: 2, LF: 0, E: 25, V: 10
SM: 2, LF: 1, E: 25, V: 10
SM: 650, LF: 3, E: 2000, V: 100
SM: 575, LF: 4, E: 2100, V: 100
SM: 532, LF: 5, E: 2200, V: 100
SM: 410, LF: 2, E: 2200, V: 100
SM: 416, LF: 2, E: 2200, V: 100
SM: 485, LF: 2, E: 2200, V: 100
SM: 2955, LF: 2384, E: 2200, V: 100
SM: 444, LF: 2, E: 2200, V: 100
SM: 699, LF: 2, E: 2200, V: 100
SM: 427, LF: 2, E: 2200, V: 100
SM: 444, LF: 2, E: 2200, V: 100
SM: 58, LF: 2, E: 2200, V: 100
SM: 62, LF: 2, E: 2200, V: 100
SM: 76, LF: 2, E: 2200, V: 100
SM: 58, LF: 2, E: 2200, V: 100
SM: 56, LF: 2, E: 2200, V: 100
SM: 59, LF: 1, E: 2200, V: 100
SM: 56, LF: 2, E: 2200, V: 100
SM: 55, LF: 2, E: 2200, V: 100
SM: 48, LF: 1, E: 2200, V: 100
SM: 49, LF: 2, E: 2200, V: 100
SM: 59, LF: 2, E: 2200, V: 100
SM: 62, LF: 2, E: 2200, V: 100
SM: 56, LF: 2, E: 2200, V: 100
SM: 57, LF: 3, E: 2200, V: 100
SM: 52, LF: 1, E: 2200, V: 100
SM: 57, LF: 2, E: 2200, V: 100
SM: 62, LF: 2, E: 3000, V: 100
SM: 59, LF: 2, E: 3000, V: 100
SM: 46, LF: 2, E: 3000, V: 100
SM: 66, LF: 2, E: 3000, V: 100
SM: 57, LF: 2, E: 3000, V: 100
SM: 58, LF: 2, E: 3000, V: 100
SM: 51, LF: 1, E: 3000, V: 100
SM: 65, LF: 2, E: 3000, V: 100
SM: 59, LF: 2, E: 3000, V: 100
SM: 58, LF: 1, E: 3000, V: 100
SM: 53, LF: 1, E: 3000, V: 100
SM: 59, LF: 4, E: 3000, V: 100
SM: 54, LF: 2, E: 3000, V: 100
SM: 58, LF: 2, E: 3000, V: 100
SM: 47, LF: 2, E: 3500, V: 100
SM: 49, LF: 2, E: 3500, V: 100
SM: 60, LF: 2, E: 3500, V: 100
SM: 52, LF: 2, E: 3500, V: 100
SM: 73, LF: 2, E: 3500, V: 100
SM: 66, LF: 3, E: 3500, V: 100
SM: 52, LF: 2, E: 3500, V: 100
SM: 48, LF: 2, E: 3500, V: 100
SM: 51, LF: 2, E: 3500, V: 100
SM: 51, LF: 2, E: 3500, V: 100
SM: 53, LF: 2, E: 3500, V: 100
SM: 77, LF: 2, E: 3500, V: 100
SM: 58, LF: 2, E: 3500, V: 100
SM: 50, LF: 2, E: 3500, V: 100
SM: 38, LF: 1, E: 200, V: 100
SM: 33, LF: 1, E: 200, V: 100
SM: 35, LF: 1, E: 200, V: 100
SM: 35, LF: 1, E: 200, V: 100
SM: 34, LF: 1, E: 200, V: 100
SM: 38, LF: 1, E: 200, V: 100
SM: 34, LF: 0, E: 200, V: 100
SM: 37, LF: 1, E: 200, V: 100
SM: 35, LF: 1, E: 200, V: 100
SM: 36, LF: 1, E: 200, V: 100
SM: 33, LF: 1, E: 200, V: 100
SM: 34, LF: 1, E: 200, V: 100
SM: 36, LF: 1, E: 200, V: 100
SM: 35, LF: 1, E: 200, V: 100
SM: 34, LF: 1, E: 200, V: 100
SM: 38, LF: 1, E: 200, V: 100
SM: 36, LF: 1, E: 200, V: 100
SM: 35, LF: 1, E: 200, V: 100
SM: 42, LF: 1, E: 200, V: 100
SM: 46, LF: 1, E: 1000, V: 100
SM: 46, LF: 1, E: 1000, V: 100
SM: 49, LF: 1, E: 1000, V: 100
SM: 54, LF: 1, E: 1000, V: 100
SM: 49, LF: 1, E: 1000, V: 100
SM: 48, LF: 1, E: 1000, V: 100
SM: 55, LF: 2, E: 4000, V: 100
SM: 62, LF: 2, E: 4000, V: 100
SM: 54, LF: 2, E: 4000, V: 100
SM: 70, LF: 3, E: 4000, V: 100
SM: 72, LF: 3, E: 4000, V: 100
SM: 64, LF: 3, E: 4000, V: 100
SM: 60, LF: 3, E: 4000, V: 100
SM: 63, LF: 3, E: 4300, V: 100
SM: 59, LF: 3, E: 4300, V: 100
SM: 66, LF: 2, E: 4300, V: 100
SM: 54, LF: 3, E: 4300, V: 100
SM: 67, LF: 3, E: 4300, V: 100
SM: 49, LF: 2, E: 4300, V: 100
SM: 104, LF: 2, E: 4300, V: 200
SM: 221, LF: 2, E: 4300, V: 200
SM: 151, LF: 2, E: 4300, V: 200
SM: 375, LF: 2, E: 10000, V: 200
SM: 140, LF: 1, E: 10000, V: 200
SM: 129, LF: 2, E: 10000, V: 200
SM: 132, LF: 2, E: 10000, V: 200
SM: 284, LF: 2, E: 10000, V: 200
SM: 174, LF: 5, E: 10000, V: 200
SM: 125, LF: 2, E: 10000, V: 200
SM: 297, LF: 2, E: 10000, V: 200
SM: 192, LF: 4, E: 10000, V: 200
SM: 163, LF: 2, E: 10000, V: 200
SM: 185, LF: 2, E: 15000, V: 200
SM: 422, LF: 2, E: 15000, V: 200
SM: 173, LF: 2, E: 15000, V: 200
SM: 165, LF: 2, E: 15000, V: 200
SM: 154, LF: 2, E: 15000, V: 200
SM: 802, LF: 3, E: 30000, V: 500
SM: 793, LF: 3, E: 30000, V: 500
SM: 1135, LF: 4, E: 30000, V: 500
SM: 1229, LF: 4, E: 30000, V: 500
SM: 789, LF: 4, E: 30000, V: 500
